adapter,question,horizon,bucket,sample_count,avg_confidence,actual_hit_rate,avg_forward_return,calibration_error
ai_hedge_fund,Q1,1,0.0-0.5,7,0.047142857142857146,0.0,0.007078598084763378,0.047142857142857146
ai_hedge_fund,Q1,1,0.9-1.0,8,1.0,0.0,0.00799399874808139,1.0
ai_hedge_fund,Q1,5,0.0-0.5,3,0.0,0.0,0.0449548425164914,0.0
ai_hedge_fund,Q1,5,0.9-1.0,2,1.0,0.0,0.02035509708597605,1.0
alphagen,Q3,1,0.0-0.5,4,0.2857142857142857,0.25,-0.0032554519151388184,0.0357142857142857
alphagen,Q3,1,0.7-0.8,2,0.7142857142857142,0.5,-0.014228290856981907,0.2142857142857142
alphagen,Q3,1,0.9-1.0,4,1.0,0.5,-0.0021564115484581647,0.5
alphagen,Q3,5,0.0-0.5,4,0.2857142857142857,0.0,0.0010148891802164994,0.2857142857142857
alphagen,Q3,5,0.7-0.8,2,0.7142857142857142,0.5,-0.02777276983132021,0.2142857142857142
alphagen,Q3,5,0.9-1.0,3,1.0,0.6666666666666666,-0.004944124123661409,0.33333333333333337
alphagen,Q3,20,0.0-0.5,4,0.2857142857142857,0.0,-0.005036066944432316,0.2857142857142857
alphagen,Q3,20,0.7-0.8,2,0.7142857142857142,0.0,-0.09628958400172566,0.7142857142857142
alphagen,Q3,20,0.9-1.0,3,1.0,0.0,-0.030050230531489846,1.0
atlas,Q3,1,0.5-0.6,17,0.5906976744186045,0.058823529411764705,-0.00033142085325812157,0.5318741450068398
atlas,Q3,5,0.5-0.6,10,0.5906976744186047,0.3,0.002477605412945061,0.29069767441860467
atlas,Q3,20,0.5-0.6,10,0.5906976744186047,0.0,0.008298983851763841,0.5906976744186047
deepalpha,Q1,1,0.7-0.8,1,0.7778257163208746,1.0,-0.04018866417017264,0.2221742836791254
deepalpha,Q1,1,0.8-0.9,2,0.8797591747371293,0.0,0.002372711292865759,0.8797591747371293
deepalpha,Q1,1,0.9-1.0,37,0.973819573709854,0.5945945945945946,0.0020423740337284883,0.3792249791152593
deepalpha,Q1,5,0.8-0.9,2,0.8797591747371293,0.0,0.0328275906339941,0.8797591747371293
deepalpha,Q1,5,0.9-1.0,28,0.9742624983725919,0.39285714285714285,0.003287597611689972,0.581405355515449
deepalpha,Q1,20,0.8-0.9,2,0.8797591747371293,0.0,0.08875656319774428,0.8797591747371293
deepalpha,Q1,20,0.9-1.0,23,0.9777411648938529,0.6521739130434783,-0.016474556343751685,0.3255672518503746
deepalpha,Q3,1,0.0-0.5,31,0.16912821873177852,0.6451612903225806,-0.0012487239000433016,0.4760330715908021
deepalpha,Q3,1,0.5-0.6,5,0.5399507795185429,0.2,0.002094311309292185,0.33995077951854286
deepalpha,Q3,1,0.6-0.7,2,0.6564634456088003,0.5,0.02082839741751774,0.15646344560880032
deepalpha,Q3,1,0.8-0.9,1,0.8391535243995635,1.0,-0.04018866417017264,0.16084647560043652
deepalpha,Q3,1,0.9-1.0,1,1.0,0.0,0.06689535135353153,1.0
deepalpha,Q3,5,0.0-0.5,24,0.18291888307232676,0.5,0.0010662523816989216,0.31708111692767327
deepalpha,Q3,5,0.5-0.6,4,0.5419035537976489,0.0,0.0249195019151926,0.5419035537976489
deepalpha,Q3,5,0.6-0.7,1,0.6237427507215515,1.0,-0.012178252170109816,0.3762572492784485
deepalpha,Q3,5,0.9-1.0,1,1.0,0.0,0.04461810174387271,1.0
deepalpha,Q3,20,0.0-0.5,20,0.20268231808430745,0.7,-0.03325790827198313,0.4973176819156925
deepalpha,Q3,20,0.5-0.6,4,0.5419035537976489,0.0,0.09244078416090323,0.5419035537976489
deepalpha,Q3,20,0.6-0.7,1,0.6237427507215515,0.0,0.09399335928524954,0.6237427507215515
finclaw,Q3,1,0.0-0.5,10,0.15256249769117394,0.3,0.00039042009614170814,0.14743750230882605
finrl_x,Q3,1,0.0-0.5,9,0.08045977011494254,0.0,-0.0003503071703640195,0.08045977011494254
finrl_x,Q3,1,0.7-0.8,1,0.7241379310344828,0.0,0.007056965494693257,0.7241379310344828
qlib,Q3,1,0.0-0.5,26,0.26373626373626374,0.038461538461538464,-0.000911759166845101,0.22527472527472528
qlib,Q3,1,0.7-0.8,4,0.7142857142857142,0.25,-0.012017435048741282,0.4642857142857142
qlib,Q3,1,0.9-1.0,5,1.0,0.2,0.00046042011597460244,0.8
qlib,Q3,5,0.0-0.5,19,0.24812030075187974,0.10526315789473684,0.0027951708035205123,0.1428571428571429
qlib,Q3,5,0.7-0.8,2,0.7142857142857142,0.0,-0.028452672693975167,0.7142857142857142
qlib,Q3,5,0.9-1.0,4,1.0,0.75,-0.0035174268012645726,0.25
qlib,Q3,20,0.0-0.5,19,0.24812030075187974,0.0,-0.010812698935095703,0.24812030075187974
qlib,Q3,20,0.7-0.8,2,0.7142857142857142,0.0,-0.04604469900259933,0.7142857142857142
qlib,Q3,20,0.9-1.0,4,1.0,0.75,0.02403225206530421,0.25
rdagent,Q3,1,0.0-0.5,10,0.03311825542479266,0.2,0.00039042009614170814,0.16688174457520735
tradingagents,Q1,1,0.5-0.6,2,0.5,0.0,0.012052484149136233,0.5
tradingagents,Q1,1,0.6-0.7,8,0.65,0.625,-0.002525095917106923,0.025000000000000022
vibe_trading,Q3,1,0.0-0.5,6,0.0,0.0,-0.0012937423850850616,0.0
vibe_trading,Q3,1,0.9-1.0,4,1.0,0.5,0.0029166638179818627,0.5
