question,adapter,n_records,secondary_fields_possible,secondary_fields_present,secondary_field_sparsity,evidence_atoms_generated,risk_atoms_generated,validation_atoms_generated
Q1,ai_hedge_fund,15,75,45,0.4,15,1,0
Q1,deepalpha,40,200,120,0.4,44,0,0
Q1,tradingagents,10,50,50,0.0,92,10,0
Q2,fingpt,15,45,45,0.0,26,15,0
Q2,nofx,10,30,30,0.0,58,10,0
Q2,prediction_arena,10,30,30,0.0,23,10,0
Q2,tradingagents,10,30,30,0.0,22,10,0
Q3,alphagen,10,40,40,0.0,37,0,0
Q3,atlas,17,68,68,0.0,51,0,0
Q3,deepalpha,40,160,160,0.0,78,0,0
Q3,finclaw,10,40,40,0.0,33,0,0
Q3,finrl_x,10,40,34,0.15000000000000002,10,0,0
Q3,qlib,35,140,140,0.0,72,0,0
Q3,rdagent,10,40,30,0.25,54,0,0
Q3,vibe_trading,10,40,30,0.25,30,0,0
Q4,finrl,6,24,24,0.0,0,6,0
Q4,finrl_x,1,4,4,0.0,0,1,0
Q4,vibe_trading,1,4,3,0.25,0,1,0
Q5,agentictrading,1,9,7,0.2222222222222222,0,0,3
Q5,finrl,6,54,54,0.0,0,0,18
Q5,prediction_arena,1,9,6,0.33333333333333337,0,1,3
Q5,vibe_trading,1,9,8,0.11111111111111116,0,0,3
