question,field,kind,n_records_answering_q,n_field_present,coverage_ratio
Q1,action,primary,65,65,1.0
Q1,confidence,secondary,65,65,1.0
Q1,reasoning,secondary,65,65,1.0
Q1,bull_case,secondary,65,10,0.15384615384615385
Q1,bear_case,secondary,65,10,0.15384615384615385
Q1,time_horizon,secondary,65,65,1.0
Q2,sentiment_score,primary,45,45,1.0
Q2,risk_level,secondary,45,45,1.0
Q2,drivers,secondary,45,45,1.0
Q2,sources,secondary,45,45,1.0
Q3,direction,primary,142,142,1.0
Q3,strength,primary,142,142,1.0
Q3,signal_type,secondary,142,142,1.0
Q3,expected_horizon,secondary,142,142,1.0
Q3,expected_return,secondary,142,116,0.8169014084507042
Q3,supporting_evidence,secondary,142,142,1.0
Q4,weights,primary,8,8,1.0
Q4,cash_ratio,secondary,8,8,1.0
Q4,regime,secondary,8,7,0.875
Q4,rebalance_freq,secondary,8,8,1.0
Q4,rationale,secondary,8,8,1.0
Q5,total_return,primary,9,9,1.0
Q5,sharpe,secondary,9,9,1.0
Q5,max_drawdown,secondary,9,9,1.0
Q5,alpha_vs_benchmark,secondary,9,8,0.8888888888888888
Q5,calmar,secondary,9,8,0.8888888888888888
Q5,win_rate,secondary,9,8,0.8888888888888888
Q5,equity_curve,secondary,9,9,1.0
Q5,benchmark,secondary,9,9,1.0
Q5,train_period,secondary,9,6,0.6666666666666666
Q5,test_period,secondary,9,9,1.0
