ticker,date,n_adapters_voting,majority_vote_score,majority_vote_decision,confidence_weighted_score,confidence_weighted_decision,interwoven_score,interwoven_decision,risk_multiplier,validation_multiplier,contradiction_multiplier,evidence_boost_applied,future_return,future_return_horizon,any_confidence_defaulted
AAPL,2026-07-02,2,1.0,BUY,1.0,BUY,0.5984,BUY,0.85,0.8,0.8,True,0.01305770247720095,1,False
AAPL,2026-07-06,8,-1.0,SELL,-0.3278401999161102,SELL,-0.043274906388926546,HOLD,0.6,0.4,0.5,True,-0.006396724801939757,1,False
BTC-USD,2026-07-02,2,1.0,BUY,0.5171610376126285,BUY,0.2707855192939723,BUY,0.85,0.8,0.7,True,0.017221977026140145,1,False
GLD,2026-05-15,3,-1.0,SELL,-0.5652933185850013,SELL,-0.3730935902661009,SELL,1.0,1.0,0.6,True,0.00273187497307803,1,False
GLD,2026-05-21,3,-1.0,SELL,-0.6399597132537055,SELL,-0.42237341074744567,SELL,1.0,1.0,0.6,True,-0.0076020599640161945,1,False
GLD,2026-05-27,3,-1.0,SELL,-0.6399597132537055,SELL,-0.42237341074744567,SELL,1.0,1.0,0.6,True,0.010477609933210896,1,False
GLD,2026-06-02,3,-1.0,SELL,-0.5612534164841693,SELL,-0.37042725487955175,SELL,1.0,1.0,0.6,True,-0.009904155768766576,1,False
GLD,2026-06-08,3,-1.0,SELL,-0.10497923751476433,HOLD,-0.03753007741152825,HOLD,1.0,0.65,0.5,True,-0.01633647245916592,1,False
GLD,2026-07-06,9,-1.0,SELL,-0.1876798375372411,HOLD,-0.012386869277457913,HOLD,0.3,0.4,0.5,True,-0.012142502784779907,1,False
JNJ,2026-07-06,9,1.0,BUY,0.5078243591675866,BUY,0.030469461550055196,HOLD,0.3,0.4,0.5,False,0.030501693100212224,1,False
JPM,2026-05-15,3,-1.0,SELL,-0.6653267166727659,SELL,-0.36592969417002125,SELL,1.0,1.0,0.5,True,0.009804966055655173,1,False
JPM,2026-05-21,3,-1.0,SELL,-0.6799528783153036,SELL,-0.373974083073417,SELL,1.0,1.0,0.5,True,0.011155101734823258,1,False
JPM,2026-05-27,3,-1.0,SELL,-0.1646631320748827,HOLD,-0.0905647226411855,HOLD,1.0,1.0,0.5,True,-0.008520381291236778,1,False
JPM,2026-06-02,3,-1.0,SELL,-0.6533744865817646,SELL,-0.3593559676199705,SELL,1.0,1.0,0.5,True,-0.0003653631645685884,1,False
JPM,2026-06-08,3,-1.0,SELL,-0.6662423820708742,SELL,-0.23818165159033755,HOLD,1.0,0.65,0.5,True,0.005110785750300106,1,False
JPM,2026-07-06,9,-1.0,SELL,0.006996091142737406,HOLD,0.0009234840308413376,HOLD,0.6,0.4,0.5,True,0.004441549196311012,1,False
MSFT,2026-07-06,8,1.0,BUY,0.6676531750869357,BUY,0.08813021911147552,HOLD,0.6,0.4,0.5,True,0.0054300205733650575,1,False
NVDA,2026-05-15,3,-1.0,SELL,-0.8215216811288736,SELL,-0.6325716944692327,SELL,1.0,1.0,0.7,True,-0.013314396868819633,1,False
NVDA,2026-05-21,3,-1.0,SELL,-0.11568490789902139,HOLD,-0.06362669934446177,HOLD,1.0,1.0,0.5,True,-0.01904237975665879,1,False
NVDA,2026-05-27,3,-1.0,SELL,-0.24668837417179257,HOLD,-0.13567860579448593,HOLD,1.0,1.0,0.5,True,0.007761024690098095,1,False
NVDA,2026-06-02,3,0.0,HOLD,0.01859152032790172,HOLD,0.010225336180345946,HOLD,1.0,1.0,0.5,True,-0.03621760640406191,1,False
NVDA,2026-06-08,3,-1.0,SELL,-0.1219693137117541,HOLD,-0.04360402965195209,HOLD,1.0,0.65,0.5,True,-0.0021568105327770537,1,False
NVDA,2026-07-02,2,1.0,BUY,1.0,BUY,0.7040000000000002,BUY,1.0,0.8,0.8,True,0.0036955356666652506,1,False
NVDA,2026-07-06,9,1.0,BUY,0.47759748684770753,BUY,0.06304286826389739,HOLD,0.6,0.4,0.5,True,0.007056965494693257,1,False
QQQ,2026-05-15,2,-1.0,SELL,-0.009606616497335978,HOLD,-0.005283639073534788,HOLD,1.0,1.0,0.5,True,-0.004302314727548051,1,False
QQQ,2026-05-21,2,-1.0,SELL,-0.7019283014131351,SELL,-0.5404847920881141,SELL,1.0,1.0,0.7,True,0.004240666390677106,1,False
QQQ,2026-05-27,2,-1.0,SELL,-0.8789367543654252,SELL,-0.6767813008613773,SELL,1.0,1.0,0.7,True,0.008430926296197239,1,False
QQQ,2026-06-02,2,-1.0,SELL,-0.8794481905362537,SELL,-0.6771751067129153,SELL,1.0,1.0,0.7,True,-0.002613320951729392,1,False
QQQ,2026-06-08,2,0.0,HOLD,-0.8545240431914268,SELL,-0.27772031403721376,SELL,1.0,0.65,0.5,False,-0.01150725833784727,1,False
QQQ,2026-07-06,9,1.0,BUY,0.08657046547975697,HOLD,0.016188677044714557,HOLD,0.85,0.4,0.5,True,-0.0185246873533641,1,False
SPY,2026-05-15,3,-1.0,SELL,-0.8064296617348565,SELL,-0.5322435767450053,SELL,1.0,1.0,0.6,True,-0.0007035093177317764,1,False
SPY,2026-05-21,3,-1.0,SELL,-0.6518528459212038,SELL,-0.501926691359327,SELL,1.0,1.0,0.7,True,0.003931549076803931,1,False
SPY,2026-05-27,3,-1.0,SELL,-0.028423752019528542,HOLD,-0.0156330636107407,HOLD,1.0,1.0,0.5,True,0.005516578600909927,1,False
SPY,2026-06-02,2,-1.0,SELL,-1.0,SELL,-0.66,SELL,1.0,1.0,0.6,True,-0.00701718232049986,1,False
SPY,2026-06-08,3,-1.0,SELL,-0.6616886739216299,SELL,-0.33117518129777573,SELL,1.0,0.65,0.7,True,-0.0029354505508077944,1,False
SPY,2026-07-02,2,1.0,BUY,0.008404497882981978,HOLD,0.0028239112886819444,HOLD,0.6,0.8,0.7,False,0.008727409093039817,1,False
SPY,2026-07-06,9,-1.0,SELL,0.1176161936832953,HOLD,0.015525337566194982,HOLD,0.6,0.4,0.5,True,-0.004751899671231685,1,False
TSLA,2026-07-02,2,-1.0,SELL,-1.0,SELL,-0.4488000000000001,SELL,0.85,0.8,0.6,True,0.06689535135353153,1,False
TSLA,2026-07-06,9,-1.0,SELL,-0.6486747265721812,SELL,-0.04281253195376396,HOLD,0.3,0.4,0.5,True,-0.04018866417017264,1,False
XOM,2026-07-06,9,0.0,HOLD,-0.2976119903890587,SELL,-0.03928478273135576,HOLD,0.6,0.4,0.5,True,0.03847845137832362,1,False
